seed,step,Delta,candidate,reaction_N,ratio_to_legacy_abs,agreement_with_exact_abs_error_N,agreement_with_exact_rel_error,legacy_top_sigma_integral_N,physical_interpretability,future_reliable,alpha0p8_through_crack
7,0,1e-06,R_energy_exact,0.07881747296778485,2.116461312206909,0.0,0.0,0.03724021436782092,energy-conjugate to actual checkpoint mechanics objective,True,False
7,0,1e-06,R_virtual_energy_autograd_sigma,0.07881746569182724,2.1164611168278613,7.275957614183426e-09,9.231401794824526e-08,0.03724021436782092,same as exact energy derivative if autograd stress is correct,True,False
7,0,1e-06,R_current_trial_energy,0.07881747296778485,2.116461312206909,0.0,0.0,0.03724021436782092,"current-strain mechanics diagnostic, not training history branch",True,False
7,0,1e-06,R_history_branch_energy,0.07881747296778485,2.116461312206909,0.0,0.0,0.03724021436782092,training-objective energy reaction,True,False
7,0,1e-06,R_legacy_top_sigma,0.03724021436782092,1.0,0.04157725859996393,0.527513215463757,0.03724021436782092,legacy top-boundary postprocessed sigma integral,False,False
7,0,1e-06,R_energy_consistent_top_boundary_sigma,0.08158239500817242,2.190706911683821,0.0027649220403875713,0.03508006456281186,0.03724021436782092,boundary integral of energy-autograd stress; diagnostic traction proxy,False,False
7,0,1e-06,R_postprocessed_sigma_virtual_work,0.05421896275947802,1.4559250981736653,0.024598510208306834,0.3120946318383109,0.03724021436782092,virtual work from existing postprocessed sigma_tm_eff,True,False
7,1,5e-06,R_energy_exact,0.427455612225458,2.1913183809639576,0.0,0.0,0.19506778017232757,energy-conjugate to actual checkpoint mechanics objective,True,False
7,1,5e-06,R_virtual_energy_autograd_sigma,0.42745558312162757,2.191318231765405,2.9103830456733704e-08,6.808620503357229e-08,0.19506778017232757,same as exact energy derivative if autograd stress is correct,True,False
7,1,5e-06,R_current_trial_energy,0.427455612225458,2.1913183809639576,0.0,0.0,0.19506778017232757,"current-strain mechanics diagnostic, not training history branch",True,False
7,1,5e-06,R_history_branch_energy,0.427455612225458,2.1913183809639576,0.0,0.0,0.19506778017232757,training-objective energy reaction,True,False
7,1,5e-06,R_legacy_top_sigma,0.19506778017232757,1.0,0.23238783205313046,0.5436537160975661,0.19506778017232757,legacy top-boundary postprocessed sigma integral,False,False
7,1,5e-06,R_energy_consistent_top_boundary_sigma,0.3679734520960271,1.8863876534143698,0.05948216012943092,0.13915400436491995,0.19506778017232757,boundary integral of energy-autograd stress; diagnostic traction proxy,False,False
7,1,5e-06,R_postprocessed_sigma_virtual_work,0.2691335103008896,1.3796922795918967,0.15832210192456841,0.3703825552793601,0.19506778017232757,virtual work from existing postprocessed sigma_tm_eff,True,False
7,2,1e-05,R_energy_exact,0.8481868426315486,2.2259586823955533,0.0,0.0,0.3810433901310059,energy-conjugate to actual checkpoint mechanics objective,True,False
7,2,1e-05,R_virtual_energy_autograd_sigma,0.8481867262162268,2.2259583768783213,1.1641532182693481e-07,1.3725197795541083e-07,0.3810433901310059,same as exact energy derivative if autograd stress is correct,True,False
7,2,1e-05,R_current_trial_energy,0.8481868426315486,2.2259586823955533,0.0,0.0,0.3810433901310059,"current-strain mechanics diagnostic, not training history branch",True,False
7,2,1e-05,R_history_branch_energy,0.8481868426315486,2.2259586823955533,0.0,0.0,0.3810433901310059,training-objective energy reaction,True,False
7,2,1e-05,R_legacy_top_sigma,0.3810433901310059,1.0,0.46714345250054273,0.5507553631122162,0.3810433901310059,legacy top-boundary postprocessed sigma integral,False,False
7,2,1e-05,R_energy_consistent_top_boundary_sigma,0.7687666296349666,2.017530416603364,0.07942021299658208,0.09363528058296246,0.3810433901310059,boundary integral of energy-autograd stress; diagnostic traction proxy,False,False
7,2,1e-05,R_postprocessed_sigma_virtual_work,0.5298277828842402,1.3904657490635932,0.3183590597473085,0.3753407194570257,0.3810433901310059,virtual work from existing postprocessed sigma_tm_eff,True,False
7,3,1.5e-05,R_energy_exact,1.2412937358021736,2.331339159247863,0.0,0.0,0.5324380757206686,energy-conjugate to actual checkpoint mechanics objective,True,False
7,3,1.5e-05,R_virtual_energy_autograd_sigma,1.2412938522174954,2.3313393778936122,1.1641532182693481e-07,9.378547435567504e-08,0.5324380757206686,same as exact energy derivative if autograd stress is correct,True,False
7,3,1.5e-05,R_current_trial_energy,1.2412957148626447,2.331342876225595,1.979060471057892e-06,1.5943530640464756e-06,0.5324380757206686,"current-strain mechanics diagnostic, not training history branch",True,False
7,3,1.5e-05,R_history_branch_energy,1.2412937358021736,2.331339159247863,0.0,0.0,0.5324380757206686,training-objective energy reaction,True,False
7,3,1.5e-05,R_legacy_top_sigma,0.5324380757206686,1.0,0.708855660081505,0.5710619812508876,0.5324380757206686,legacy top-boundary postprocessed sigma integral,False,False
7,3,1.5e-05,R_energy_consistent_top_boundary_sigma,1.189683318870228,2.2344069162596254,0.05161041693194557,0.04157792426028224,0.5324380757206686,boundary integral of energy-autograd stress; diagnostic traction proxy,False,False
7,3,1.5e-05,R_postprocessed_sigma_virtual_work,0.7674339576624334,1.4413581459659732,0.47385977813974023,0.3817466925614614,0.5324380757206686,virtual work from existing postprocessed sigma_tm_eff,True,False
7,4,2e-05,R_energy_exact,1.5864964807406068,2.474722688295301,0.0,0.0,0.6410805090381484,energy-conjugate to actual checkpoint mechanics objective,True,False
7,4,2e-05,R_virtual_energy_autograd_sigma,1.586496364325285,2.4747225067029426,1.1641532182693481e-07,7.337887177196254e-08,0.6410805090381484,same as exact energy derivative if autograd stress is correct,True,False
7,4,2e-05,R_current_trial_energy,1.586527214385569,2.4747706286780287,3.073364496231079e-05,1.937202214779811e-05,0.6410805090381484,"current-strain mechanics diagnostic, not training history branch",True,False
7,4,2e-05,R_history_branch_energy,1.5864964807406068,2.474722688295301,0.0,0.0,0.6410805090381484,training-objective energy reaction,True,False
