seed,step,Delta,reaction_primary_metric,reaction_metric_status,requires_checkpoint,is_energy_conjugate,is_legacy_diagnostic,softening_gate_eligible,checkpoint_available,exact_autograd_computable,energy_virtual_work_agrees_with_exact,energy_virtual_abs_error_N,energy_virtual_rel_error,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,reaction_N_postprocessed_sigma_virtual_work,alpha0p8_through_crack,legacy_metric_status,legacy_softening_gate_eligible
7,0,1e-06,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,7.275957614183426e-09,9.231401794824526e-08,0.07881747296778485,0.07881746569182724,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,0.05421896275947802,False,legacy_diagnostic_only,False
7,1,5e-06,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,2.9103830456733704e-08,6.808620503357229e-08,0.427455612225458,0.42745558312162757,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,0.2691335103008896,False,legacy_diagnostic_only,False
7,2,1e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.1641532182693481e-07,1.3725197795541083e-07,0.8481868426315486,0.8481867262162268,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,0.5298277828842402,False,legacy_diagnostic_only,False
7,3,1.5e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.1641532182693481e-07,9.378547435567504e-08,1.2412937358021736,1.2412938522174954,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,0.7674339576624334,False,legacy_diagnostic_only,False
7,4,2e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.1641532182693481e-07,7.337887177196254e-08,1.5864964807406068,1.586496364325285,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,0.9621469653211534,False,legacy_diagnostic_only,False
7,5,2.5e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,0.0,0.0,1.7821155488491058,1.7821155488491058,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,0.9398891124874353,False,legacy_diagnostic_only,False
7,6,3e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.1641532182693481e-07,6.34774213668682e-08,1.8339642556384206,1.8339641392230988,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,0.4658364341594279,False,legacy_diagnostic_only,False
7,7,3.5e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,0.0,0.0,1.731373369693756,1.731373369693756,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,-0.7361004827544093,False,legacy_diagnostic_only,False
7,8,4e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.1641532182693481e-07,8.144852620113567e-08,1.4293115818873048,1.4293116983026266,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,-2.9465779662132263,False,legacy_diagnostic_only,False
7,9,4.5e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,0.0,0.0,1.007041078992188,1.007041078992188,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848027,-6.195499561727047,False,legacy_diagnostic_only,False
7,10,4.7e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,5.820766091346741e-08,6.83057543158137e-08,0.8521633571945131,0.852163415402174,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,-7.978897541761398,False,legacy_diagnostic_only,False
7,11,4.9e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,5.820766091346741e-08,8.586774118123272e-08,0.6778757669962943,0.6778757087886333,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,-10.01704391092062,False,legacy_diagnostic_only,False
7,12,5.1e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,5.820766091346741e-08,1.2158421311669945e-07,0.4787435755133629,0.47874351730570197,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,-12.233088724315166,False,legacy_diagnostic_only,False
7,13,5.3e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.1641532182693481e-07,4.3444931051808295e-07,0.2679606550373137,0.2679605386219919,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,-14.832749031484127,False,legacy_diagnostic_only,False
7,14,5.5e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,1.0186340659856796e-07,6.373062122515564e-07,0.15983432240318507,0.15983422053977847,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,-17.60835014283657,True,legacy_diagnostic_only,False
7,15,5.7e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,2.1827872842550278e-08,1.9220688226213662e-07,0.11356447066646069,0.11356449249433354,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,-20.227305591106415,True,legacy_diagnostic_only,False
7,16,5.9e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,0.0,0.0,0.07449212716892362,0.07449212716892362,0.688694490752876,-1.138462204576597,0.46451134154459867,0.7377947511751924,-23.43406341969967,True,legacy_diagnostic_only,False
7,17,6.1e-05,reaction_N_energy_exact,energy_exact_primary,True,True,False,True,True,True,True,3.637978807091713e-09,1.0284460991913637e-07,0.03537354859872721,0.035373544960748404,0.6926931438529224,-1.1422028621878149,0.4760615156541447,0.7168713220325532,-26.847772300243378,True,legacy_diagnostic_only,False
