case_id,case,stage,top_u_mode,prefit_kind,Delta,alpha_mode,l0,tm_source,prefit_epochs,energy_epochs,curriculum_epochs,strain_weight,displacement_mse,displacement_rel_rmse,strain_mse,strain_rel_rmse,u_corr,v_corr,strain_corr,He_current_corr,mechanics_energy_log10,elastic_energy,fracture_energy,mixed_mode_ratio,reaction_N_tm_eff_proxy,notch_tip_He_current_max,bulk_He_current_p95,bottom_right_He_current_max,bulk_to_notch_He_current,bottom_to_notch_He_current,max_He_current,max_He_current_x,max_He_current_y,target_notch_tip_He_current_max,target_bulk_He_current_p95,target_bottom_right_He_current_max,target_bulk_to_notch_He_current,target_bottom_to_notch_He_current,target_max_He_current,target_max_He_current_x,target_max_He_current_y,classification,case_group,start_prefit,continuation_mode,energy_mode,energy_scale,normalized_mechanics_energy,lambda_u,lambda_eps,lambda_trust_u,lambda_trust_eps,checkpoint,bottom_u_abs_max,bottom_v_abs_max,top_v_minus_delta_abs_max,top_u_free_abs_mean,pass_He_current_corr,pass_strain_corr,pass_bulk_to_notch,pass_bottom_to_notch,pass_displacement_rel_rmse,success_all_thresholds
prefit_disp_global,prefit,prefit_end,free,disp_global,1e-06,zero_fixed,0.00015,split,1000,300,0,1e-05,3.988009575350837e-11,0.005636722780764103,0.0020818719640374184,0.1777246594429016,0.9999504089355469,0.999949038028717,0.9843130111694336,0.8933058977127075,-3.39532470703125,0.00040241616079583764,0.0,1.006441354751587,-200.20510864257812,94.98365783691406,8.837502479553223,0.9605516195297241,0.0930423472922797,0.01011280931272389,94.98365783691406,0.005083783995360136,0.0049602254293859005,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,target-like,prefit,disp_global,prefit_only,none,0.00040241616079583764,1.0,0.0,0.0,0.0,0.0,prefit_end,0.0,0.0,0.0,0.00035580742405727506,True,True,True,True,True,True
prefit_disp_strain_global,prefit,prefit_end,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,1000,300,0,1e-05,4.662236569030753e-11,0.006094607524573803,0.002025837544351816,0.17531657218933105,0.9999480843544006,0.9999469518661499,0.9847221970558167,0.9415749311447144,-3.39453387260437,0.00040314957732334733,0.0,1.006441354751587,-198.8579864501953,60.160308837890625,8.346184730529785,0.9853224754333496,0.13873241164734726,0.016378281535894747,60.160308837890625,0.005021084565669298,0.004998643882572651,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,target-like,prefit,disp_strain_global,prefit_only,none,0.00040314957732334733,1.0,0.0,0.0,0.0,0.0,prefit_end,0.0,0.0,0.0,0.0003552534035407007,True,True,True,True,True,True
pure_energy_baseline_log10,pure_energy_baseline,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2544272749437368e-06,0.9997037649154663,0.06591323018074036,1.0000159740447998,-0.20824645459651947,-0.15342333912849426,-0.016975905746221542,-0.014970521442592144,-10.366655349731445,4.29877314300775e-11,0.0,1.006441354751587,0.046365316957235336,5.498870450537652e-06,8.040341867854295e-07,1.4609895515604876e-06,0.14621806314909913,0.2656890291746443,6.682628009002656e-05,0.003412301652133465,0.00513438880443573,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,collapsed/non-target,pure_energy_baseline,disp_strain_global,pure_energy_baseline,log10,0.00040314957732334733,1.0662973210957645e-07,0.0,0.0,0.0,0.0,final,0.0,0.0,0.0,1.812836956105457e-07,False,False,True,False,False,False
global_displacement_anchor_lamU_1e-06,global_displacement_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2543869161163457e-06,0.999687671661377,0.06591148674488068,1.0000027418136597,-0.11460024863481522,-0.111879363656044,0.015162795782089233,0.17882958054542542,-10.415125846862793,3.8448098871324277e-11,0.0,1.006441354751587,0.03960288316011429,1.9357972632860765e-05,9.65116782936093e-07,1.4151186178423814e-06,0.04985629441885753,0.07310262519124411,1.9357972632860765e-05,0.00499229971319437,0.004897184669971466,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,notch-amplified,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.00040314957732334733,9.536931460177834e-08,1e-06,0.0,0.0,0.0,final,0.0,0.0,0.0,1.6468796104618377e-07,False,False,True,True,False,False
global_displacement_anchor_lamU_1e-05,global_displacement_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2543607681436697e-06,0.999677300453186,0.06591133028268814,1.0000015497207642,-0.09179441630840302,-0.1417994201183319,0.030830616131424904,0.07805755734443665,-10.283352851867676,5.207708916876719e-11,0.0,1.006441354751587,0.05937105789780617,3.826673037110595e-06,9.15652776711795e-07,1.3666963241121266e-06,0.23928168616234238,0.35715001278083525,6.135147486929782e-06,0.00257845688611269,0.0051407297141849995,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,collapsed/non-target,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.00040314957732334733,1.2917560155842256e-07,1e-05,0.0,0.0,0.0,final,0.0,0.0,0.0,1.669229021672436e-07,False,False,True,False,False,False
global_displacement_anchor_lamU_1e-04,global_displacement_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2540410807559965e-06,0.9995498657226562,0.06590025871992111,0.9999176263809204,0.3410610258579254,0.0008271348779089749,0.2719272971153259,0.1931351274251938,-10.318734169006348,4.8002716385164845e-11,0.0,1.006441354751587,0.04277432709932327,3.212373030692106e-06,1.053545588547422e-06,5.572493932959333e-07,0.32796489650532135,0.17346970229540054,9.11720962903928e-06,0.003713383339345455,0.0049189673736691475,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,collapsed/non-target,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.00040314957732334733,1.1906924646646503e-07,0.0001,0.0,0.0,0.0,final,0.0,0.0,0.0,3.191589428297448e-07,False,False,True,False,False,False
global_displacement_anchor_lamU_1e-03,global_displacement_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2505634003900923e-06,0.9981629252433777,0.06581494212150574,0.9992702007293701,0.17380349338054657,0.781724750995636,0.6022056341171265,0.7799056768417358,-9.161489486694336,6.894624871023325e-10,0.0,1.006441354751587,-0.09441784769296646,6.707128704874776e-06,1.9499269910738803e-05,1.1314687071717344e-06,2.907245524685792,0.1686964358309357,0.0001869984989752993,0.00011280964827165008,0.0002940627164207399,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,boundary-dominated,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.00040314957732334733,1.7101902764723651e-06,0.001,0.0,0.0,0.0,final,0.0,0.0,0.0,3.8149678402987774e-06,False,False,False,False,False,False
global_displacement_anchor_lamU_1e-02,global_displacement_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.217226099470281e-06,0.9847686290740967,0.06488902121782303,0.9922161102294922,0.21255497634410858,0.8952772617340088,0.7107536196708679,0.8177531957626343,-7.233762264251709,5.837650007833872e-08,0.0,1.006441354751587,-1.8191359043121338,0.0015836276579648256,0.0015691325534135103,0.00039153004763647914,0.9908468985885587,0.2472361768041156,0.015290467068552971,0.00011280964827165008,0.0002940627164207399,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,boundary-dominated,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.00040314957732334733,0.0001448010945860863,0.01,0.0,0.0,0.0,final,0.0,0.0,0.0,3.576519156922586e-05,True,False,False,False,False,False
global_displacement_anchor_lamU_1e-01,global_displacement_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,9.76529804574966e-07,0.8820462226867676,0.05427227541804314,0.9074227809906006,0.8538224101066589,0.874592661857605,0.8816887736320496,0.8697629570960999,-5.402629375457764,3.957043190894183e-06,0.0,1.006441354751587,-19.432212829589844,0.5257371068000793,0.09482552111148834,0.0015995089197531343,0.18036680288490153,0.003042412070718408,0.8873285055160522,0.00011280964827165008,0.0002940627164207399,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,boundary-dominated,global_displacement_anchor,disp_strain_global,global_displacement_anchor,normalized,0.00040314957732334733,0.00981532268287714,0.1,0.0,0.0,0.0,final,0.0,0.0,0.0,0.00015392324712593108,True,False,True,True,False,False
global_strain_anchor_lamEps_1e-08,global_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2544146557047497e-06,0.9996987581253052,0.06591283529996872,1.000012993812561,-0.19133372604846954,-0.14836667478084564,-0.007933616638183594,-0.04375983402132988,-10.367903709411621,4.2864344018678224e-11,0.0,1.006441354751587,0.0451689139008522,1.4527165603794856e-06,8.365773283003364e-07,1.419708951289067e-06,0.575870993087462,0.9772786997886249,9.719350600789767e-06,0.004013800993561745,0.005150584504008293,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,collapsed/non-target,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.00040314957732334733,1.0632367346945957e-07,0.0,1e-08,0.0,0.0,final,0.0,0.0,0.0,1.8225740916477662e-07,False,False,False,False,False,False
global_strain_anchor_lamEps_1e-07,global_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2544114724732935e-06,0.9996975064277649,0.06591221690177917,1.0000083446502686,-0.18572045862674713,-0.1274937242269516,0.0022211242467164993,0.19384229183197021,-10.419331550598145,3.8077534181280015e-11,0.0,1.006441354751587,0.04063376784324646,2.9528318918892182e-05,8.724993563191674e-07,1.4827907079961733e-06,0.02954788448051282,0.05021588638584791,2.9528318918892182e-05,0.005021084565669298,0.004998643882572651,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,notch-amplified,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.00040314957732334733,9.445014040220565e-08,0.0,1e-07,0.0,0.0,final,0.0,0.0,0.0,1.6327155094586487e-07,False,False,True,True,False,False
global_strain_anchor_lamEps_1e-06,global_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.25438020859292e-06,0.9996850490570068,0.06591177731752396,1.0000050067901611,-0.07197604328393936,-0.14354172348976135,0.021780449897050858,0.07649353891611099,-10.262078285217285,5.469175112793323e-11,0.0,1.006441354751587,0.06678540259599686,1.0820860552485101e-05,8.94664822226332e-07,1.3017722721997416e-06,0.08267963697405423,0.12030210221134202,1.0820860552485101e-05,0.005021084565669298,0.004998643882572651,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,collapsed/non-target,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.00040314957732334733,1.356611893060911e-07,0.0,1e-06,0.0,0.0,final,0.0,0.0,0.0,1.5332886960095493e-07,False,False,True,False,False,False
global_strain_anchor_lamEps_1e-05,global_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2543955563160125e-06,0.9996911287307739,0.06591042131185532,0.9999947547912598,-0.04432469606399536,-0.12825971841812134,0.04494519159197807,0.22097180783748627,-10.413793563842773,3.8566157212205354e-11,0.0,1.006441354751587,0.04342127963900566,3.555677176336758e-05,8.742073305256781e-07,1.5157721691139159e-06,0.02458624017792109,0.042629634073685585,3.555677176336758e-05,0.005021084565669298,0.004998643882572651,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,notch-amplified,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.00040314957732334733,9.566215464805821e-08,0.0,1e-05,0.0,0.0,final,0.0,0.0,0.0,1.567926659618024e-07,False,False,True,True,False,False
global_strain_anchor_lamEps_1e-04,global_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.254148287443968e-06,0.9995926022529602,0.06588035821914673,0.9997666478157043,0.8349120020866394,-0.007339594420045614,0.5445083379745483,0.3749462366104126,-10.339078903198242,4.580587298352867e-11,0.0,1.006441354751587,0.043388482183218,5.7588469644542783e-05,1.5578482361888746e-06,2.2015985905454727e-06,0.027051391464376236,0.03822985059569301,5.7588469644542783e-05,0.005021084565669298,0.004998643882572651,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,notch-amplified,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.00040314957732334733,1.1362004466840836e-07,0.0,0.0001,0.0,0.0,final,0.0,0.0,0.0,1.4575458351373527e-07,False,False,True,True,False,False
global_strain_anchor_lamEps_1e-03,global_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2520595191745088e-06,0.9987598657608032,0.06562503427267075,0.997827410697937,0.9594395160675049,0.5858163237571716,0.8503416180610657,0.4802611470222473,-9.042973518371582,9.057884997609733e-10,0.0,1.006441354751587,0.030207524076104164,0.0016017667949199677,4.418664684635587e-05,1.7829486750997603e-05,0.027586192313696738,0.011131137695914376,0.0016017667949199677,0.005021084565669298,0.004998643882572651,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,notch-amplified,global_strain_anchor,disp_strain_global,global_strain_anchor,normalized,0.00040314957732334733,2.2467802292509483e-06,0.0,0.001,0.0,0.0,final,0.0,0.0,0.0,1.5087380234035663e-06,False,False,True,True,False,False
global_disp_strain_anchor_lamU_1e-04_lamEps_1e-06,global_displacement_plus_strain_anchor,final,free,disp_strain_global,1e-06,zero_fixed,0.00015,split,0,300,0,1e-05,1.2540107263703248e-06,0.9995377659797668,0.06590253114700317,0.9999348521232605,0.16544678807258606,0.10609053075313568,0.2004586011171341,0.5791128277778625,-10.17350959777832,6.706418753665844e-11,0.0,1.006441354751587,0.07128291577100754,1.0249040087728645e-06,1.0510315178180463e-06,4.794403025698557e-07,1.0254926401121844,0.46779044521827756,4.324791007093154e-06,0.00011280964827165008,0.0002940627164207399,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,48.69594192504883,0.00011280964827165008,0.0002940627164207399,boundary-dominated,global_displacement_plus_strain_anchor,disp_strain_global,global_displacement_plus_strain_anchor,normalized,0.00040314957732334733,1.6635063338506096e-07,0.0001,1e-06,0.0,0.0,final,0.0,0.0,0.0,3.081506747548701e-07,False,False,False,False,False,False
