step,Delta_s,engineering_shear_strain,alpha_min,alpha_mean,alpha_max,max_alpha_x,max_alpha_y,notch_tip_alpha_max,bulk_alpha_max,bottom_right_alpha_max,HI_max,HII_max,HII_over_HI_peak_ratio,He_current_max,max_He_current_x,max_He_current_y,mechanics_drive_max,max_mechanics_drive_x,max_mechanics_drive_y,drive_location_classification,notch_tip_He_current_max,notch_tip_mechanics_drive_max,bottom_right_He_current_max,bottom_right_mechanics_drive_max,alpha0p5_area_fraction,alpha0p5_notch_connected_count,alpha0p5_notch_connected_x_span,alpha0p5_through_to_right,alpha0p8_area_fraction,alpha0p8_notch_connected_count,alpha0p8_notch_connected_x_span,alpha0p8_through_to_right,alpha0p8_through_crack
10,2.5e-05,0.0025,-0.00059804454213,0.0026285608764737,0.0495586805045604,0.0050444970838725,0.0049571054987609,0.0495586805045604,0.0113316178321838,0.00888635776937,0.0028880857862532,0.0018240424105897,0.6315748719348412,0.0047238776460289,0.0050210845656692,0.0049986438825726,0.0047238776460289,0.0050210845656692,0.0049986438825726,notch-dominated,0.0047238776460289,0.0047238776460289,8.986693865153939e-05,8.986693865153939e-05,0.0,0,0.0,False,0.0,0,0.0,False,False
11,2.7e-05,0.0026999999999999,-0.0004128232540097,0.0032030504662543,0.0594866387546062,0.0049478271976113,0.0049321353435516,0.0594866387546062,0.013614535331726,0.010344436392188,0.0034066694788634,0.00215157517232,0.6315773178670244,0.0055721038952469,0.0050210845656692,0.0049986438825726,0.0055721038952469,0.0050210845656692,0.0049986438825726,notch-dominated,0.0055721038952469,0.0055721038952469,0.0001051536019076,0.0001051536019076,0.0,0,0.0,False,0.0,0,0.0,False,False
12,3e-05,0.003,-0.0004602291155606,0.0040467171929776,0.0863121300935745,0.0049478271976113,0.0049321353435516,0.0863121300935745,0.0154276490211486,0.0127437515184283,0.004380804952234,0.0027667391113936,0.6315595287990843,0.0071653658524155,0.0050210845656692,0.0049986438825726,0.0071653658524155,0.0050210845656692,0.0049986438825726,notch-dominated,0.0071653658524155,0.0071653658524155,0.0001297040726058,0.0001297040726058,0.0,0,0.0,False,0.0,0,0.0,False,False
13,3.2e-05,0.0031999999999999,-0.0003883317694999,0.0047403704375028,0.0958635956048965,0.0049478271976113,0.0049321353435516,0.0958635956048965,0.0178913678973913,0.0143096847459673,0.0050632250495254,0.0031977728940546,0.6315683902603426,0.0082815960049629,0.0050210845656692,0.0049986438825726,0.0082815960049629,0.0050210845656692,0.0049986438825726,notch-dominated,0.0082815960049629,0.0082815960049629,0.0001477452606195,0.0001477452606195,0.0,0,0.0,False,0.0,0,0.0,False,False
14,3.5e-05,0.0034999999999999,-0.0003631662984844,0.0058549493551254,0.1253610253334045,0.0050444970838725,0.0049571054987609,0.1253610253334045,0.0216167978942394,0.0172754731029272,0.0065240995027124,0.0041204788722097,0.6315781772636373,0.0106711201369762,0.0050210845656692,0.0049986438825726,0.0106711201369762,0.0050210845656692,0.0049986438825726,notch-dominated,0.0106711201369762,0.0106711201369762,0.0001767710928106,0.0001767710928106,0.0,0,0.0,False,0.0,0,0.0,False,False
15,3.7e-05,0.0036999999999999,-0.0003262413083575,0.0064968005754053,0.1417848169803619,0.0050444970838725,0.0049571054987609,0.1417848169803619,0.0238556768745183,0.0189966969192028,0.0075077530927956,0.004741733893752,0.6315782944836242,0.0122800301760435,0.0050210845656692,0.0049986438825726,0.0122800301760435,0.0050210845656692,0.0049986438825726,notch-dominated,0.0122800301760435,0.0122800301760435,0.0001969582081073,0.0001969582081073,0.0,0,0.0,False,0.0,0,0.0,False,False
16,4e-05,0.004,-0.0003050728118978,0.0077166454866528,0.1793433427810669,0.0050444970838725,0.0049571054987609,0.1793433427810669,0.0287366211414337,0.0220880918204784,0.0094295367598533,0.0059554916806519,0.6315783937560632,0.0154233900830149,0.0050210845656692,0.0049986438825726,0.0154233900830149,0.0050210845656692,0.0049986438825726,notch-dominated,0.0154233900830149,0.0154233900830149,0.0002293350553372,0.0002293350553372,0.0,0,0.0,False,0.0,0,0.0,False,False
17,4.2e-05,0.0042,-0.0003035017871297,0.0086301732808351,0.2086919993162155,0.0050444970838725,0.0049571054987609,0.2086919993162155,0.0314464569091796,0.0244082324206829,0.0110412472859025,0.0069734142161905,0.6315784834467187,0.018059579655528,0.0050210845656692,0.0049986438825726,0.018059579655528,0.0050210845656692,0.0049986438825726,notch-dominated,0.018059579655528,0.018059579655528,0.0002521288988646,0.0002521288988646,0.0,0,0.0,False,0.0,0,0.0,False,False
18,4.5e-05,0.0045,-0.0003137671446893,0.0099792415276169,0.255147784948349,0.0050444970838725,0.0049571054987609,0.255147784948349,0.0361468009650707,0.0278435852378606,0.0140283722430467,0.0088594881817698,0.6315407110872105,0.0229449272155761,0.0050210845656692,0.0049986438825726,0.0229449272155761,0.0050210845656692,0.0049986438825726,notch-dominated,0.0229449272155761,0.0229449272155761,0.0002888018789235,0.0002888018789235,0.0,0,0.0,False,0.0,0,0.0,False,False
19,4.7e-05,0.0046999999999999,-0.0003140582412015,0.010920244269073,0.2913850247859955,0.0050444970838725,0.0049571054987609,0.2913850247859955,0.0396454334259033,0.0301615893840789,0.01630668528378,0.0102989552542567,0.6315787098988723,0.0266719795763492,0.0050210845656692,0.0049986438825726,0.0266719795763492,0.0050210845656692,0.0049986438825726,notch-dominated,0.0266719795763492,0.0266719795763492,0.00031279027462,0.00031279027462,0.0,0,0.0,False,0.0,0,0.0,False,False
20,5e-05,0.005,-0.0004153842455707,0.0124434577301144,0.3584118783473968,0.0050444970838725,0.0049571054987609,0.3584118783473968,0.045184027403593,0.0338921770453453,0.0219319239258766,0.0138513930141925,0.6315630612711453,0.0358725376427173,0.0050210845656692,0.0049986438825726,0.0358725376427173,0.0050210845656692,0.0049986438825726,notch-dominated,0.0358725376427173,0.0358725376427173,0.0003526227665133,0.0003526227665133,0.0,0,0.0,False,0.0,0,0.0,False,False
21,5.2e-05,0.0052,-0.0003968701639678,0.0135627230629324,0.4014801681041717,0.0050444970838725,0.0049571054987609,0.4014801681041717,0.0483328104019165,0.0359891578555107,0.0261777639389038,0.0165333207696676,0.6315788013160584,0.0428175814449787,0.0050210845656692,0.0049986438825726,0.0428175814449787,0.0050210845656692,0.0049986438825726,notch-dominated,0.0428175814449787,0.0428175814449787,0.0003785418230108,0.0003785418230108,0.0,0,0.0,False,0.0,0,0.0,False,False
22,5.5e-05,0.0055,-0.000359029014362,0.0154017880558967,0.5044106245040894,0.0050444970838725,0.0049571054987609,0.5044106245040894,0.0544234737753868,0.0395959727466106,0.0376072973012924,0.0237498451024293,0.6315222525074441,0.0615101233124733,0.0050210845656692,0.0049986438825726,0.0615101233124733,0.0050210845656692,0.0049986438825726,notch-dominated,0.0615101233124733,0.0615101233124733,0.0004165066929999,0.0004165066929999,0.00018480872297172427,1,0.0,False,0.0,0,0.0,False,False
23,5.7e-05,0.0057,-0.0003388266195543,0.0167053621262311,0.5776113271713257,0.0050444970838725,0.0049571054987609,0.5776113271713257,0.0582608506083488,0.0417770743370056,0.0486837401986122,0.0307460650801658,0.6315468974802035,0.0796278491616249,0.0050210845656692,0.0049986438825726,0.0796278491616249,0.0050210845656692,0.0049986438825726,notch-dominated,0.0796278491616249,0.0796278491616249,0.0004398978198878,0.0004398978198878,0.0011088523378303455,6,0.0001359567977488041,False,0.0,0,0.0,False,False
24,6e-05,0.006,-0.0003174232842866,0.0189286340028047,0.723801851272583,0.0050444970838725,0.0049571054987609,0.723801851272583,0.0642830654978752,0.0445135831832885,0.0902157202363014,0.0548793263733387,0.6083122346038325,0.1454485356807708,0.0050210845656692,0.0049986438825726,0.1454485356807708,0.0050210845656692,0.0049986438825726,notch-dominated,0.1454485356807708,0.1454485356807708,0.000472202693345,0.000472202693345,0.00258732212160414,14,0.00020400667563080788,False,0.0,0,0.0,False,False
25,6.2e-05,0.0062,-0.0004104411927983,0.0203957501798868,0.8076879382133484,0.0050444970838725,0.0049571054987609,0.8076879382133484,0.0687303990125656,0.0466335713863372,0.1348676681518554,0.0810999795794487,0.6013300347725555,0.2164900451898574,0.0050210845656692,0.0049986438825726,0.2164900451898574,0.0050210845656692,0.0049986438825726,notch-dominated,0.2164900451898574,0.2164900451898574,0.0004934655735269,0.0004934655735269,0.003326557013491037,18,0.00025597959756851196,False,0.00018480872297172427,1,0.0,False,False
26,6.5e-05,0.0065,-0.0003643131349235,0.0225720833986997,0.9127709865570068,0.0050444970838725,0.0049571054987609,0.9127709865570068,0.0735711902379989,0.0495633892714977,0.2505862116813659,0.1573282927274704,0.6278409800437142,0.4089279174804687,0.0050210845656692,0.0049986438825726,0.4089279174804687,0.0050210845656692,0.0049986438825726,notch-dominated,0.4089279174804687,0.4089279174804687,0.0005215735873207,0.0005215735873207,0.004805026797264831,26,0.0003392668440937996,False,0.0011088523378303455,6,9.073643013834953e-05,False,False
27,6.7e-05,0.0067,-0.0004045307869091,0.024037804454565,0.949302613735199,0.0050444970838725,0.0049571054987609,0.949302613735199,0.0774812325835228,0.050955843180418,0.3546709716320038,0.2174923866987228,0.613222970286913,0.5735642910003662,0.0050210845656692,0.0049986438825726,0.5735642910003662,0.0050210845656692,0.0049986438825726,notch-dominated,0.5735642910003662,0.5735642910003662,0.00053888495313,0.00053888495313,0.00517464424320828,28,0.00036461418494582176,False,0.0014784697837737942,8,0.00013074930757284164,False,False
28,7e-05,0.0069999999999999,-0.0004207168822176,0.0260216128081083,0.9803838729858398,0.0050444970838725,0.0049571054987609,0.9803838729858398,0.0827788338065147,0.0533726438879966,0.5594595074653625,0.3457697927951813,0.6180425717701986,0.9067029356956482,0.0050210845656692,0.0049986438825726,0.9067029356956482,0.0050210845656692,0.0049986438825726,notch-dominated,0.9067029356956482,0.9067029356956482,0.0005658759619109,0.0005658759619109,0.006653114026982074,36,0.0004473598673939705,False,0.002032895952688967,11,0.00018272222951054573,False,False
29,7.2e-05,0.0072,-0.000458267488284,0.027341641485691,0.9893944263458252,0.0050444970838725,0.0049571054987609,0.9893944263458252,0.0876538977026939,0.0548308193683624,0.7474991679191589,0.4498991072177887,0.6018723853167482,1.1830461025238037,0.0050444970838725,0.0049571054987609,1.1830461025238037,0.0050444970838725,0.0049571054987609,notch-dominated,1.1830461025238037,1.1830461025238037,0.0005799206555821,0.0005799206555821,0.0072075401958972465,39,0.0004891469143331051,False,0.0024025133986324155,13,0.0001957346685230732,False,False
30,7.5e-05,0.0074999999999999,-0.0005579029675573,0.0292966328561306,0.9944151639938354,0.0050837839953601,0.0049602254293859,0.9944151639938354,0.0998164117336273,0.0568900629878044,1.1114810705184937,0.6507573127746582,0.5854866358372501,1.766430139541626,0.0050444970838725,0.0049571054987609,1.766430139541626,0.0050444970838725,0.0049571054987609,notch-dominated,1.766430139541626,1.766430139541626,0.0006044665933586,0.0006044665933586,0.008131583810755868,44,0.0005688383243978024,False,0.002772130844575864,15,0.0002596038393676281,False,False
31,7.7e-05,0.0077,-0.0005507336463779,0.030618442222476,1.0003403425216677,0.0050837839953601,0.0049602254293859,1.0003403425216677,0.1046180948615074,0.0578403994441032,1.4783697128295898,0.8712774515151978,0.589350176721071,2.355259418487549,0.0050444970838725,0.0049571054987609,2.355259418487549,0.0050444970838725,0.0049571054987609,notch-dominated,2.355259418487549,2.355259418487549,0.0006159011973068,0.0006159011973068,0.008870818702642764,48,0.0006172792054712772,False,0.0031417482905193124,17,0.0003280513919889927,False,False
32,8e-05,0.008,-0.000609983340837,0.0323345772922039,1.000342845916748,0.0050837839953601,0.0049602254293859,1.000342845916748,0.1506743878126144,0.0605082921683788,1.9636352062225344,1.1730709075927734,0.5973975735795766,3.144262313842773,0.0050444970838725,0.0049571054987609,3.144262313842773,0.0050444970838725,0.0049571054987609,notch-dominated,3.144262313842773,3.144262313842773,0.000641496211756,0.000641496211756,0.009425244871557938,51,0.0007236707024276257,False,0.0036961744594344852,20,0.0003841365687549114,False,False
